,Narrative,Topic
0,Covid vaccines cause pregnancy problems and infertility in women.,COVID-19
1,Individual countries' CO2 emissions are too small to impact climate change.,Climate Change
2,Joe Biden is mentally unfit and frequently disoriented.,Other
3,Ukrainians cause chaos and destruction globally.,The Ukraine-Russia War
4,Global elites are prosecuted for fake COVID-19 vaccine crimes.,COVID-19
5,"Protests photos are manipulated, and participants are paid to inflate numbers.",Other
6,Farmers are under attack by governments using military due to climate policies.,Climate Change
7,Immigrants get more financial support than local citizens everywhere in Europe.,Migration
8,Authorities are eliminating all freedom of expression and censoring dissenting opinions.,Other
9,Vaccines are secretly designed to reduce the global population.,COVID-19
10,Eco-friendly events and activists generate significant waste and chaos.,Climate Change
11,Zelensky and other leaders habitually use cocaine during official duties.,The Ukraine-Russia War
12,Politicians' claims mask real issues in Romania's EU fund management and growth.,Other
13,Electric cars harm the environment more than traditional fuel cars.,Climate Change
14,Economic turmoil forces German companies to shut down and move abroad.,Other
15,Genetically modified insects are designed to harm humans and reduce population.,Other
16,Planes spray chemicals to make people sick and control them.,Other
17,Extreme weather is due to human-controlled weather manipulation techniques.,Climate Change
18,Wildfires are intentionally set to manipulate climate change perception.,Climate Change
19,Russia and Ukraine conflict never stops and is constantly escalating.,The Ukraine-Russia War
20,Mammography is harmful and banned because it causes cancer.,Other
21,Investing in cryptocurrency platforms guarantees quick wealth for everyone.,Other
22,Radioactive threat from Ukraine endangers Europe with increased radiation levels.,The Ukraine-Russia War
23,Ancient humans had hidden advanced technologies and secrets about giants.,Other
24,Masks are harmful and ineffective against viruses.,COVID-19
25,Hospitals lie about COVID-19 for financial gain and manipulate public fear.,COVID-19
26,EU leaders prioritize their salaries over citizens' financial struggles.,The European Union
27,Electric vehicles fail in cold and are too costly to maintain.,Climate Change
28,Kamala Harris used unethical methods and connections to advance her political career.,Other
29,Aliens and tech anomalies are signs of upcoming fake invasion.,Other
30,"Paris Olympics insult global cultures and faiths, sparking widespread outrage.",Other
31,LGBTQ+ movement aims to normalize harmful behavior towards children.,LGBTQ+
32,The EU will eliminate all old cars to enforce electric vehicles.,The European Union
33,Qatar World Cup strictly opposes LGBTQ+ and Nazi symbols.,LGBTQ+
34,"Natural methods cure all diseases alone, eliminating need for medicine.",Other
35,"Election processes globally are corrupted and unreliable, causing unfair election outcomes.",Other
36,Illegal migrants increase crime rates and threaten public safety in Europe.,Migration
37,Ukraine faked Bucha massacre to accuse Russia of war crimes.,The Ukraine-Russia War
38,"Space exploration is fake, and Earth is not a globe.",Other
39,Farmers in France spread manure to oppose Ukraine policies.,The Ukraine-Russia War
40,Olena Zelenska wastes money on luxuries during Ukraine's crisis.,The Ukraine-Russia War
41,Animals are always saving humans in every disaster situation.,Other
42,Leopard tanks fail and get destroyed easily in Ukraine battlefields.,The Ukraine-Russia War
43,Emmanuel Macron is unpopular and causing chaos in public events worldwide.,The European Union
44,Many foods are toxic and cause health risks like cancer.,Other
45,Global elites want to control your diet and pets to combat climate change.,Climate Change
46,Gaza war scenes are fake and orchestrated for sympathy.,The Israel-Palestine Conflict
47,Earthquakes everywhere cause endless destruction and chaos worldwide.,Other
48,"Corona vaccines are untested, unsafe, and only a few got real doses.",COVID-19
49,Migrants are creating disorder and disrespecting host countries' norms everywhere.,Migration
50,Poland aims to control Ukrainian territories and divide them with nearby countries.,The Ukraine-Russia War
51,Your smartphone is constantly vulnerable to secret hacking schemes.,Other
52,Food with Rainforest Alliance logo contains harmful substances linked to Bill Gates.,Other
53,Climate change is fake; human impact is minimal and natural cycles explain everything.,Climate Change
54,Ukraine war uses fake events and actors for deceptive propaganda.,The Ukraine-Russia War
